id,ppoint_dh,lon_bd,lat_bd,ppoint_type,insert_time,onlyId
c5bd0df92f7649459a4979852989683f,KSTC064YS102,19501.05840000045,78883.79429999925,4000,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19501.0584|400078883.7943KSTC064YS102
3bb92e97320e4974870eca9d8a3e6de8,KSTC064WS019,19500.789400000125,78882.91300000064,4000,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19500.7894|400078882.913KSTC064WS019
a6796c703d9a4459b856ff9d77911792,KSTC064YS103,19515.72090000008,78878.92980000004,4000,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19515.7209|400078878.9298KSTC064YS103
ca928904c1724d8cabcccde9686fe3f4,KSTC064WS020,19515.45359999966,78878.12170000002,4000,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19515.4536|400078878.1217KSTC064WS020
b6df7b4b20354a36a52b7835b26f0197,KSTC055YS001001,17415.51300000027,80111.8169999998,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_17415.513|410080111.817KSTC055YS001001
4649bd0b03fa412b8eb667780b43532c,KSTC028WS043,20533.277999999933,77540.36999999918,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_20533.278|410077540.37KSTC028WS043
4c54b7446bc44f9e92ac214aa27ca710,KSTC028YS038,20534.347000000067,77540.18400000036,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_20534.347|410077540.184KSTC028YS038
f5b15f640de247f09863f02284f78fe3,KSTC037WS025,16614.64400000032,80049.21499999985,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_16614.644|410080049.215KSTC037WS025
c3085265469e4a3fb2885a47805ca913,KSTC037YS003,16615.89699999988,80047.69400000013,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_16615.897|410080047.694KSTC037YS003
74bb0192e9ae4aa190d7c3e6f2bcc84a,KSTC037YS097,16656.917000000365,80000.67500000075,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_16656.917|410080000.675KSTC037YS097
4d7b7299b4cb4fb18800fda94236ac1d,KSTC037WS029,16674.542999999598,79968.87199999951,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_16674.543|410079968.872KSTC037WS029
